Frame Type,Mean Entropy,id
Switch,0.000550723,Flies13
Switch,0.14331695,Flies13
Switch,0.0022162788,Flies13
Switch,0.0143763255,Flies13
Non-Switch,0.06883255,Flies13
Non-Switch,0.009445826,Flies13
Non-Switch,0.0028724812,Flies13
Non-Switch,0.0022416445,Flies13
Non-Switch,0.0013465984,Flies13
Non-Switch,0.0008822019,Flies13
Non-Switch,0.00070923194,Flies13
Non-Switch,0.00076837605,Flies13
Non-Switch,0.0006857347,Flies13
Non-Switch,0.0008843541,Flies13
Non-Switch,0.0009002373,Flies13
Non-Switch,0.0010293912,Flies13
Non-Switch,0.015536732,Flies13
Non-Switch,0.0010823661,Flies13
Non-Switch,0.001204714,Flies13
Non-Switch,0.0008680264,Flies13
Non-Switch,0.00086017966,Flies13
Non-Switch,0.0010014223,Flies13
Non-Switch,0.0009989038,Flies13
Non-Switch,0.00096168875,Flies13
Non-Switch,0.0008109752,Flies13
Non-Switch,0.0007793313,Flies13
Non-Switch,0.0007106038,Flies13
Non-Switch,0.0095421625,Flies13
Non-Switch,0.0007363787,Flies13
Non-Switch,0.0006974299,Flies13
Non-Switch,0.00066758576,Flies13
Non-Switch,0.0006410235,Flies13
Non-Switch,0.0005535112,Flies13
Non-Switch,0.00070796977,Flies13
Non-Switch,0.00076368457,Flies13
Non-Switch,0.00079385936,Flies13
Non-Switch,0.0008439443,Flies13
Non-Switch,0.0007920948,Flies13
Non-Switch,0.009563068,Flies13
Non-Switch,0.00085083337,Flies13
Non-Switch,0.0009951738,Flies13
Non-Switch,0.0009999535,Flies13
Non-Switch,0.0010253023,Flies13
Non-Switch,0.0010520886,Flies13
Non-Switch,0.0010853527,Flies13
Non-Switch,0.0029109586,Flies13
Non-Switch,0.0015785656,Flies13
Non-Switch,0.0048881406,Flies13
Non-Switch,0.0022044966,Flies13
Non-Switch,0.008106748,Flies13
Non-Switch,0.0032705376,Flies13
Non-Switch,0.0042053633,Flies13
Non-Switch,0.010493017,Flies13
