Frame Type,Mean Entropy,id
Switch,0.06915485,Mice-btc
Switch,0.0069300965,Mice-btc
Non-Switch,0.5781048,Mice-btc
Non-Switch,6.0733573e-06,Mice-btc
Non-Switch,5.385217e-06,Mice-btc
Non-Switch,7.2620473e-06,Mice-btc
Non-Switch,1.4791223e-05,Mice-btc
Non-Switch,0.0015119313,Mice-btc
Non-Switch,6.2543213e-06,Mice-btc
Non-Switch,1.7576149e-05,Mice-btc
Non-Switch,0.0014895491,Mice-btc
Non-Switch,0.0015118835,Mice-btc
Non-Switch,6.9382286e-06,Mice-btc
Non-Switch,8.872441e-06,Mice-btc
Non-Switch,1.2927598e-05,Mice-btc
Non-Switch,9.807242e-06,Mice-btc
Non-Switch,7.2253024e-06,Mice-btc
Non-Switch,5.1280012e-06,Mice-btc
Non-Switch,5.218865e-06,Mice-btc
Non-Switch,6.1278533e-06,Mice-btc
Non-Switch,7.900289e-06,Mice-btc
Non-Switch,6.1189003e-06,Mice-btc
Non-Switch,0.0015121427,Mice-btc
Non-Switch,6.8269437e-06,Mice-btc
Non-Switch,1.6836533e-05,Mice-btc
Non-Switch,1.233203e-05,Mice-btc
Non-Switch,1.136729e-05,Mice-btc
Non-Switch,6.789198e-06,Mice-btc
Non-Switch,7.218713e-06,Mice-btc
Non-Switch,5.0622184e-06,Mice-btc
Non-Switch,6.9265175e-06,Mice-btc
Non-Switch,5.345626e-06,Mice-btc
Non-Switch,6.7417827e-06,Mice-btc
Non-Switch,5.418019e-06,Mice-btc
Non-Switch,6.9185407e-06,Mice-btc
Non-Switch,5.125711e-06,Mice-btc
Non-Switch,7.001725e-06,Mice-btc
Non-Switch,5.4678076e-06,Mice-btc
Non-Switch,5.242621e-06,Mice-btc
Non-Switch,9.382216e-06,Mice-btc
Non-Switch,5.2032697e-06,Mice-btc
Non-Switch,5.090311e-06,Mice-btc
Non-Switch,5.062161e-06,Mice-btc
Non-Switch,6.8829686e-06,Mice-btc
Non-Switch,6.948463e-06,Mice-btc
Non-Switch,5.2543764e-06,Mice-btc
Non-Switch,6.920769e-06,Mice-btc
Non-Switch,5.1997276e-06,Mice-btc
Non-Switch,6.7949704e-06,Mice-btc
Non-Switch,5.0988037e-06,Mice-btc
Non-Switch,8.845913e-06,Mice-btc
Non-Switch,6.5500717e-06,Mice-btc
Non-Switch,5.377714e-06,Mice-btc
Non-Switch,7.0423175e-06,Mice-btc
Non-Switch,6.607811e-06,Mice-btc
Non-Switch,4.9945766e-06,Mice-btc
Non-Switch,5.0566023e-06,Mice-btc
Non-Switch,5.041182e-06,Mice-btc
Non-Switch,6.7066403e-06,Mice-btc
Non-Switch,6.52672e-06,Mice-btc
Non-Switch,7.002866e-06,Mice-btc
Non-Switch,5.3333747e-06,Mice-btc
Non-Switch,9.582857e-06,Mice-btc
Non-Switch,6.9451607e-06,Mice-btc
Non-Switch,5.1420066e-06,Mice-btc
Non-Switch,5.1037377e-06,Mice-btc
Non-Switch,6.5387685e-06,Mice-btc
Non-Switch,5.0651242e-06,Mice-btc
Non-Switch,5.0497742e-06,Mice-btc
Non-Switch,5.073365e-06,Mice-btc
Non-Switch,5.0891294e-06,Mice-btc
