Frame Type,Mean Entropy,id
Switch,0.33614483,Mice-hc
Switch,0.0035071578,Mice-hc
Non-Switch,0.54419327,Mice-hc
Non-Switch,7.4438403e-06,Mice-hc
Non-Switch,0.00067089626,Mice-hc
Non-Switch,0.00036370364,Mice-hc
Non-Switch,0.00022160284,Mice-hc
Non-Switch,0.00013877261,Mice-hc
Non-Switch,9.805581e-05,Mice-hc
Non-Switch,0.00028968585,Mice-hc
Non-Switch,0.00092593906,Mice-hc
Non-Switch,0.00070045766,Mice-hc
Non-Switch,0.00028776375,Mice-hc
Non-Switch,0.00073862146,Mice-hc
Non-Switch,8.967698e-05,Mice-hc
Non-Switch,0.0006220564,Mice-hc
Non-Switch,0.000102903185,Mice-hc
Non-Switch,4.057774e-05,Mice-hc
Non-Switch,3.0613897e-05,Mice-hc
Non-Switch,0.00015020532,Mice-hc
Non-Switch,1.1883712e-05,Mice-hc
Non-Switch,1.0606567e-05,Mice-hc
Non-Switch,1.2396062e-05,Mice-hc
Non-Switch,1.0958051e-05,Mice-hc
Non-Switch,1.36287135e-05,Mice-hc
Non-Switch,1.0449348e-05,Mice-hc
Non-Switch,0.00090810284,Mice-hc
Non-Switch,7.709584e-06,Mice-hc
Non-Switch,8.326988e-06,Mice-hc
Non-Switch,0.00074692746,Mice-hc
Non-Switch,1.1639073e-05,Mice-hc
Non-Switch,1.3169341e-05,Mice-hc
Non-Switch,0.2832681,Mice-hc
Non-Switch,0.07650227,Mice-hc
Non-Switch,0.0031851868,Mice-hc
Non-Switch,0.0009966168,Mice-hc
Non-Switch,0.0004238898,Mice-hc
Non-Switch,0.00016876675,Mice-hc
Non-Switch,8.321924e-05,Mice-hc
Non-Switch,2.775126e-05,Mice-hc
Non-Switch,1.3601517e-05,Mice-hc
Non-Switch,7.40441e-06,Mice-hc
Non-Switch,8.865671e-06,Mice-hc
Non-Switch,5.91636e-06,Mice-hc
Non-Switch,6.459898e-06,Mice-hc
Non-Switch,6.9122207e-06,Mice-hc
Non-Switch,6.116712e-06,Mice-hc
Non-Switch,0.0015587069,Mice-hc
Non-Switch,0.0002652348,Mice-hc
Non-Switch,8.063856e-06,Mice-hc
Non-Switch,7.2540884e-06,Mice-hc
Non-Switch,9.734473e-06,Mice-hc
Non-Switch,9.169929e-06,Mice-hc
Non-Switch,9.52198e-06,Mice-hc
Non-Switch,7.3549236e-06,Mice-hc
Non-Switch,5.7030893e-06,Mice-hc
Non-Switch,7.4671884e-06,Mice-hc
Non-Switch,5.8098462e-06,Mice-hc
Non-Switch,6.446753e-06,Mice-hc
Non-Switch,6.5633794e-05,Mice-hc
Non-Switch,6.279341e-06,Mice-hc
Non-Switch,6.387514e-06,Mice-hc
Non-Switch,1.3061443e-05,Mice-hc
Non-Switch,9.956189e-06,Mice-hc
Non-Switch,7.629849e-06,Mice-hc
Non-Switch,1.5485368e-05,Mice-hc
Non-Switch,1.0655634e-05,Mice-hc
Non-Switch,1.0173898e-05,Mice-hc
Non-Switch,0.0029406436,Mice-hc
Non-Switch,9.31764e-06,Mice-hc
Non-Switch,6.49165e-05,Mice-hc
Non-Switch,8.962965e-06,Mice-hc
Non-Switch,1.0207712e-05,Mice-hc
Non-Switch,1.0292701e-05,Mice-hc
Non-Switch,7.3798446e-06,Mice-hc
Non-Switch,7.414186e-06,Mice-hc
Non-Switch,7.4608442e-06,Mice-hc
Non-Switch,0.31627896,Mice-hc
Non-Switch,0.02983637,Mice-hc
Non-Switch,0.0016818658,Mice-hc
Non-Switch,4.1335818e-05,Mice-hc
Non-Switch,0.0007868542,Mice-hc
Non-Switch,2.0000885e-05,Mice-hc
Non-Switch,1.2400935e-05,Mice-hc
Non-Switch,1.0923435e-05,Mice-hc
Non-Switch,1.30669805e-05,Mice-hc
Non-Switch,7.886625e-06,Mice-hc
Non-Switch,6.724153e-06,Mice-hc
Non-Switch,6.878917e-06,Mice-hc
Non-Switch,7.2323055e-06,Mice-hc
Non-Switch,7.719829e-06,Mice-hc
Non-Switch,9.4002135e-06,Mice-hc
Non-Switch,0.00025646185,Mice-hc
Non-Switch,8.459262e-06,Mice-hc
Non-Switch,9.648535e-06,Mice-hc
Non-Switch,8.3680325e-06,Mice-hc
Non-Switch,7.963511e-06,Mice-hc
Non-Switch,7.5166513e-06,Mice-hc
Non-Switch,6.797899e-06,Mice-hc
Non-Switch,6.6944954e-06,Mice-hc
Non-Switch,1.5442994e-05,Mice-hc
Non-Switch,2.4511577e-05,Mice-hc
Non-Switch,0.0018640952,Mice-hc
Non-Switch,0.00052146567,Mice-hc
Non-Switch,0.0013483315,Mice-hc
Non-Switch,2.0942975e-05,Mice-hc
Non-Switch,0.0037090662,Mice-hc
Non-Switch,3.20819e-05,Mice-hc
Non-Switch,1.7591856e-05,Mice-hc
Non-Switch,1.22610545e-05,Mice-hc
Non-Switch,1.0433328e-05,Mice-hc
Non-Switch,1.1365192e-05,Mice-hc
Non-Switch,1.029204e-05,Mice-hc
Non-Switch,1.1854674e-05,Mice-hc
Non-Switch,0.00017309132,Mice-hc
Non-Switch,0.0013390117,Mice-hc
Non-Switch,7.7346e-06,Mice-hc
Non-Switch,1.0683357e-05,Mice-hc
Non-Switch,1.9279203e-05,Mice-hc
Non-Switch,4.074195e-05,Mice-hc
Non-Switch,0.00040745497,Mice-hc
Non-Switch,0.0010822556,Mice-hc
Non-Switch,0.35242155,Mice-hc
Non-Switch,0.34058002,Mice-hc
Non-Switch,0.3765097,Mice-hc
Non-Switch,0.30395997,Mice-hc
Non-Switch,0.00054115837,Mice-hc
Non-Switch,0.027583774,Mice-hc
Non-Switch,0.08028763,Mice-hc
Non-Switch,0.27659732,Mice-hc
Non-Switch,0.1493934,Mice-hc
Non-Switch,0.08999517,Mice-hc
Non-Switch,0.034079876,Mice-hc
Non-Switch,0.0060199704,Mice-hc
Non-Switch,0.055311177,Mice-hc
Non-Switch,0.012262574,Mice-hc
Non-Switch,0.000648668,Mice-hc
Non-Switch,0.0009330758,Mice-hc
Non-Switch,0.00036949664,Mice-hc
Non-Switch,9.5960255e-05,Mice-hc
Non-Switch,6.6502136e-05,Mice-hc
Non-Switch,3.417928e-05,Mice-hc
Non-Switch,4.1352472e-05,Mice-hc
Non-Switch,2.4817664e-05,Mice-hc
Non-Switch,2.050437e-05,Mice-hc
Non-Switch,2.3674877e-05,Mice-hc
Non-Switch,2.965676e-05,Mice-hc
Non-Switch,0.25164813,Mice-hc
Non-Switch,0.00023142883,Mice-hc
Non-Switch,0.0065132887,Mice-hc
Non-Switch,4.373757e-05,Mice-hc
Non-Switch,9.112615e-05,Mice-hc
Non-Switch,0.00038332117,Mice-hc
Non-Switch,0.1706258,Mice-hc
Non-Switch,0.013815552,Mice-hc
Non-Switch,0.00052062527,Mice-hc
Non-Switch,0.00027315348,Mice-hc
Non-Switch,0.039054755,Mice-hc
Non-Switch,0.032845505,Mice-hc
Non-Switch,0.0015949693,Mice-hc
Non-Switch,0.00035504502,Mice-hc
Non-Switch,0.0003889677,Mice-hc
Non-Switch,0.0004041248,Mice-hc
Non-Switch,0.00034611401,Mice-hc
Non-Switch,0.00069131266,Mice-hc
Non-Switch,0.00069156557,Mice-hc
Non-Switch,0.0011171184,Mice-hc
Non-Switch,0.00015375187,Mice-hc
Non-Switch,0.0020360905,Mice-hc
Non-Switch,0.0008727476,Mice-hc
Non-Switch,0.00031361377,Mice-hc
Non-Switch,0.00012512985,Mice-hc
Non-Switch,8.0710546e-05,Mice-hc
Non-Switch,4.8786078e-05,Mice-hc
Non-Switch,3.1580385e-05,Mice-hc
Non-Switch,2.856915e-05,Mice-hc
Non-Switch,3.8599715e-05,Mice-hc
Non-Switch,0.0017493323,Mice-hc
Non-Switch,0.0005340827,Mice-hc
Non-Switch,0.009901597,Mice-hc
Non-Switch,0.0013942576,Mice-hc
Non-Switch,0.00041953265,Mice-hc
Non-Switch,0.00017976513,Mice-hc
Non-Switch,8.314203e-05,Mice-hc
Non-Switch,5.6843608e-05,Mice-hc
Non-Switch,3.133015e-05,Mice-hc
Non-Switch,0.0012981929,Mice-hc
Non-Switch,0.0006359119,Mice-hc
Non-Switch,0.0013051487,Mice-hc
Non-Switch,9.3341114e-05,Mice-hc
Non-Switch,0.00024310677,Mice-hc
Non-Switch,0.000222402,Mice-hc
Non-Switch,0.00026164352,Mice-hc
Non-Switch,6.3858824e-05,Mice-hc
Non-Switch,5.7698053e-05,Mice-hc
Non-Switch,4.0149906e-05,Mice-hc
Non-Switch,4.9475268e-05,Mice-hc
Non-Switch,0.00023110333,Mice-hc
Non-Switch,0.0015158425,Mice-hc
Non-Switch,0.0012098959,Mice-hc
Non-Switch,4.3859258e-05,Mice-hc
Non-Switch,0.0031163413,Mice-hc
Non-Switch,0.005818801,Mice-hc
Non-Switch,0.0012891033,Mice-hc
Non-Switch,0.004104573,Mice-hc
Non-Switch,0.00022975692,Mice-hc
Non-Switch,0.0064986823,Mice-hc
Non-Switch,0.0008007209,Mice-hc
Non-Switch,0.0013064335,Mice-hc
Non-Switch,0.001437869,Mice-hc
Non-Switch,0.00017345515,Mice-hc
Non-Switch,0.047902737,Mice-hc
Non-Switch,0.0014900053,Mice-hc
Non-Switch,0.0027151261,Mice-hc
Non-Switch,0.00090106763,Mice-hc
Non-Switch,0.00041476302,Mice-hc
Non-Switch,0.00011518984,Mice-hc
Non-Switch,0.046538956,Mice-hc
Non-Switch,0.008565772,Mice-hc
Non-Switch,0.00012641799,Mice-hc
Non-Switch,0.00045456766,Mice-hc
Non-Switch,0.0036454734,Mice-hc
Non-Switch,0.00015499652,Mice-hc
Non-Switch,0.00096540357,Mice-hc
Non-Switch,9.832732e-05,Mice-hc
Non-Switch,0.0024566418,Mice-hc
Non-Switch,0.000115955845,Mice-hc
Non-Switch,0.00011988159,Mice-hc
Non-Switch,0.00015839751,Mice-hc
Non-Switch,0.00013139471,Mice-hc
Non-Switch,0.00012540877,Mice-hc
Non-Switch,0.001126168,Mice-hc
Non-Switch,0.00010092048,Mice-hc
Non-Switch,6.7128465e-05,Mice-hc
Non-Switch,8.090859e-05,Mice-hc
Non-Switch,9.808499e-05,Mice-hc
Non-Switch,5.1770145e-05,Mice-hc
Non-Switch,2.5097452e-05,Mice-hc
