Frame Type,Mean Entropy,id
Switch,0.11887662,SLAP2m
Non-Switch,0.5823868,SLAP2m
Non-Switch,1.6365135e-05,SLAP2m
Non-Switch,2.218135e-05,SLAP2m
Non-Switch,5.7265133e-06,SLAP2m
Non-Switch,1.2824841e-05,SLAP2m
Non-Switch,2.2761105e-05,SLAP2m
Non-Switch,1.4666839e-05,SLAP2m
Non-Switch,9.352689e-06,SLAP2m
Non-Switch,4.96216e-05,SLAP2m
Non-Switch,1.5336134e-05,SLAP2m
Non-Switch,9.8764385e-06,SLAP2m
Non-Switch,1.3990222e-05,SLAP2m
Non-Switch,1.1000057e-05,SLAP2m
Non-Switch,9.393018e-06,SLAP2m
Non-Switch,1.299701e-05,SLAP2m
Non-Switch,1.0773597e-05,SLAP2m
Non-Switch,2.9335575e-05,SLAP2m
Non-Switch,1.0866217e-05,SLAP2m
Non-Switch,3.6842204e-05,SLAP2m
Non-Switch,1.4493415e-05,SLAP2m
Non-Switch,3.6135498e-05,SLAP2m
Non-Switch,1.3417533e-05,SLAP2m
Non-Switch,9.623504e-06,SLAP2m
Non-Switch,8.6476175e-06,SLAP2m
Non-Switch,2.7027761e-05,SLAP2m
Non-Switch,5.7363973e-06,SLAP2m
Non-Switch,3.902312e-05,SLAP2m
Non-Switch,0.0001956055,SLAP2m
Non-Switch,2.8772094e-05,SLAP2m
Non-Switch,1.0952264e-05,SLAP2m
Non-Switch,7.6077285e-06,SLAP2m
Non-Switch,5.801692e-06,SLAP2m
Non-Switch,6.3748553e-06,SLAP2m
Non-Switch,6.602211e-06,SLAP2m
Non-Switch,8.012255e-06,SLAP2m
Non-Switch,5.841151e-06,SLAP2m
Non-Switch,7.755929e-06,SLAP2m
Non-Switch,7.7645545e-06,SLAP2m
Non-Switch,7.201262e-05,SLAP2m
Non-Switch,9.123635e-06,SLAP2m
Non-Switch,7.70993e-06,SLAP2m
Non-Switch,6.9984353e-06,SLAP2m
Non-Switch,3.9393697e-05,SLAP2m
Non-Switch,7.0880683e-06,SLAP2m
Non-Switch,8.151265e-06,SLAP2m
Non-Switch,8.162821e-06,SLAP2m
Non-Switch,5.6686786e-06,SLAP2m
Non-Switch,7.243034e-06,SLAP2m
Non-Switch,5.3436897e-06,SLAP2m
Non-Switch,5.8563874e-06,SLAP2m
Non-Switch,1.0070351e-05,SLAP2m
Non-Switch,5.4509346e-06,SLAP2m
Non-Switch,5.4010443e-06,SLAP2m
Non-Switch,5.6495064e-06,SLAP2m
Non-Switch,5.9325284e-06,SLAP2m
Non-Switch,7.4817535e-06,SLAP2m
Non-Switch,7.820539e-06,SLAP2m
Non-Switch,7.5477865e-06,SLAP2m
Non-Switch,8.6904265e-06,SLAP2m
Non-Switch,7.506259e-06,SLAP2m
Non-Switch,5.7034863e-06,SLAP2m
Non-Switch,5.81706e-06,SLAP2m
Non-Switch,9.96774e-06,SLAP2m
Non-Switch,1.0148721e-05,SLAP2m
Non-Switch,9.1862785e-06,SLAP2m
Non-Switch,7.1053155e-06,SLAP2m
Non-Switch,5.334169e-06,SLAP2m
Non-Switch,5.635365e-06,SLAP2m
Non-Switch,1.1576965e-05,SLAP2m
Non-Switch,3.0356925e-05,SLAP2m
Non-Switch,1.1721936e-05,SLAP2m
Non-Switch,6.1092596e-06,SLAP2m
Non-Switch,1.3219915e-05,SLAP2m
Non-Switch,6.271722e-06,SLAP2m
Non-Switch,6.072143e-06,SLAP2m
Non-Switch,5.4982047e-06,SLAP2m
Non-Switch,5.493979e-06,SLAP2m
Non-Switch,5.4412867e-06,SLAP2m
Non-Switch,6.534698e-06,SLAP2m
Non-Switch,5.8073e-06,SLAP2m
Non-Switch,1.6216865e-05,SLAP2m
Non-Switch,6.158323e-06,SLAP2m
Non-Switch,1.0430933e-05,SLAP2m
Non-Switch,9.633688e-06,SLAP2m
Non-Switch,5.64395e-06,SLAP2m
Non-Switch,6.0350094e-06,SLAP2m
Non-Switch,9.389654e-06,SLAP2m
Non-Switch,6.7228657e-06,SLAP2m
Non-Switch,6.483218e-06,SLAP2m
Non-Switch,1.1271002e-05,SLAP2m
Non-Switch,6.532171e-06,SLAP2m
Non-Switch,2.3629198e-05,SLAP2m
Non-Switch,1.2077166e-05,SLAP2m
Non-Switch,5.41471e-06,SLAP2m
Non-Switch,7.3155297e-06,SLAP2m
Non-Switch,8.446044e-06,SLAP2m
Non-Switch,7.217558e-06,SLAP2m
Non-Switch,6.531609e-06,SLAP2m
Non-Switch,6.426143e-06,SLAP2m
Non-Switch,6.1727387e-06,SLAP2m
Non-Switch,5.4528737e-06,SLAP2m
Non-Switch,5.4824604e-06,SLAP2m
Non-Switch,6.715095e-06,SLAP2m
Non-Switch,5.510413e-06,SLAP2m
Non-Switch,5.4675284e-06,SLAP2m
Non-Switch,5.549772e-06,SLAP2m
Non-Switch,5.6569606e-06,SLAP2m
Non-Switch,5.5473884e-06,SLAP2m
Non-Switch,7.199994e-06,SLAP2m
Non-Switch,7.029893e-06,SLAP2m
Non-Switch,7.869792e-06,SLAP2m
Non-Switch,9.471835e-06,SLAP2m
Non-Switch,7.0675205e-06,SLAP2m
Non-Switch,1.3451656e-05,SLAP2m
Non-Switch,1.8809285e-05,SLAP2m
Non-Switch,7.278367e-06,SLAP2m
Non-Switch,5.531888e-06,SLAP2m
Non-Switch,7.1074255e-06,SLAP2m
Non-Switch,5.694664e-06,SLAP2m
Non-Switch,6.217122e-06,SLAP2m
Non-Switch,6.8844256e-06,SLAP2m
Non-Switch,6.498493e-06,SLAP2m
Non-Switch,7.225458e-06,SLAP2m
Non-Switch,5.794514e-06,SLAP2m
Non-Switch,6.024291e-06,SLAP2m
Non-Switch,7.68094e-06,SLAP2m
