Frame Type,Mean Entropy,id
Switch,1.5167307,Zebrafish10
Switch,1.5406439,Zebrafish10
Non-Switch,0.9319417,Zebrafish10
Non-Switch,0.9518269,Zebrafish10
Non-Switch,0.9378732,Zebrafish10
Non-Switch,0.9362208,Zebrafish10
Non-Switch,0.9443798,Zebrafish10
Non-Switch,0.94115555,Zebrafish10
Non-Switch,0.9509249,Zebrafish10
Non-Switch,0.9319414,Zebrafish10
Non-Switch,0.92229545,Zebrafish10
Non-Switch,0.8998435,Zebrafish10
Non-Switch,0.8669855,Zebrafish10
Non-Switch,0.84873897,Zebrafish10
Non-Switch,0.835028,Zebrafish10
Non-Switch,0.82270604,Zebrafish10
Non-Switch,0.817221,Zebrafish10
Non-Switch,0.79836357,Zebrafish10
Non-Switch,0.8049699,Zebrafish10
Non-Switch,0.7995969,Zebrafish10
Non-Switch,0.81512105,Zebrafish10
Non-Switch,0.82029235,Zebrafish10
Non-Switch,0.82233506,Zebrafish10
Non-Switch,0.8224653,Zebrafish10
Non-Switch,0.8331755,Zebrafish10
Non-Switch,0.79149145,Zebrafish10
Non-Switch,0.79300404,Zebrafish10
Non-Switch,0.78151476,Zebrafish10
Non-Switch,0.8054593,Zebrafish10
Non-Switch,0.79569215,Zebrafish10
Non-Switch,0.792506,Zebrafish10
Non-Switch,0.7997637,Zebrafish10
Non-Switch,0.8176181,Zebrafish10
Non-Switch,0.78126013,Zebrafish10
Non-Switch,0.83008134,Zebrafish10
Non-Switch,0.9432567,Zebrafish10
Non-Switch,0.87247455,Zebrafish10
Non-Switch,0.9198119,Zebrafish10
Non-Switch,0.9365964,Zebrafish10
Non-Switch,0.9385487,Zebrafish10
Non-Switch,0.9488696,Zebrafish10
Non-Switch,0.95899,Zebrafish10
Non-Switch,0.9025526,Zebrafish10
Non-Switch,0.94731015,Zebrafish10
Non-Switch,0.96921813,Zebrafish10
Non-Switch,0.99578905,Zebrafish10
Non-Switch,0.99210614,Zebrafish10
Non-Switch,0.9897545,Zebrafish10
Non-Switch,0.99464023,Zebrafish10
Non-Switch,0.96280134,Zebrafish10
Non-Switch,0.95374393,Zebrafish10
Non-Switch,0.9538733,Zebrafish10
Non-Switch,0.94983846,Zebrafish10
Non-Switch,0.99985373,Zebrafish10
Non-Switch,0.97413063,Zebrafish10
Non-Switch,0.95514715,Zebrafish10
Non-Switch,0.95194787,Zebrafish10
Non-Switch,0.9496498,Zebrafish10
Non-Switch,0.9201892,Zebrafish10
Non-Switch,0.9052814,Zebrafish10
Non-Switch,0.8970351,Zebrafish10
Non-Switch,0.8892123,Zebrafish10
Non-Switch,0.86930627,Zebrafish10
Non-Switch,0.8692177,Zebrafish10
Non-Switch,0.8767191,Zebrafish10
Non-Switch,0.8747929,Zebrafish10
Non-Switch,0.8868679,Zebrafish10
Non-Switch,0.8861872,Zebrafish10
Non-Switch,0.8497203,Zebrafish10
Non-Switch,0.91529405,Zebrafish10
Non-Switch,0.9820207,Zebrafish10
Non-Switch,0.96758205,Zebrafish10
Non-Switch,0.97008055,Zebrafish10
Non-Switch,0.99372494,Zebrafish10
Non-Switch,0.9948009,Zebrafish10
Non-Switch,0.9745208,Zebrafish10
