model,dataset,MOTA,HOTA,IDF1,idp,idr,num_switches
DREEM,Flies13,100.0,100.0,100.0,1.0,1.0,0.0
DREEM,Mice-btc,99.9975967315549,99.99819759860259,99.99879836577746,0.9999879836577744,0.9999879836577744,6.0
DREEM,Mice-hc,100.0,100.0,100.0,1.0,1.0,0.0
DREEM,SLAP2m,99.97770937291621,84.61865879615507,86.17576639435637,0.8617576639435637,0.8617576639435637,16.0
DREEM,Zebrafish10,99.94666355493321,89.79566922185995,89.03680224933875,0.8903680224933875,0.8903680224933875,48.0
SLEAP,Flies13,100.0,100.0,100.0,1.0,1.0,0.0
SLEAP,Mice-btc,99.98004215232118,91.94336489514343,84.89565475314384,0.8489565475314383,0.8489565475314383,50.0
SLEAP,Mice-hc,100.0,100.0,100.0,1.0,1.0,0.0
SLEAP,SLAP2m,99.9175488293049,82.71597632811441,82.96052317016095,0.8296052317016095,0.8296052317016095,60.0
SLEAP,Zebrafish10,99.48553377342135,97.26916251999518,98.07994287746438,0.9807994287746439,0.9807994287746439,463.0
