,id,frame_id,oid,hid,score_vs_top_post,switch,score_vs_top_pre,diff_vs_top
0,group1.centroids_sample_1_17032_18532,79,3,8,-0.99470186,False,1.2324022,-2.2271042
1,group1.centroids_sample_1_17032_18532,79,6,3,-0.26458132,False,0.0,-0.26458132
2,group1.centroids_sample_1_17032_18532,79,8,6,-4.465097,False,4.199489,-8.664586
3,group1.centroids_sample_1_17032_18532,85,3,6,-2.4856007,False,1.1445543,-3.630155
4,group1.centroids_sample_1_17032_18532,85,6,8,-0.6769676,False,0.0,-0.6769676
5,group1.centroids_sample_1_17032_18532,85,8,3,-3.4770882,False,3.8264134,-7.3035016
6,group1.centroids_sample_1_17032_18532,91,3,8,-0.69941616,False,2.8143308,-3.513747
7,group1.centroids_sample_1_17032_18532,91,6,6,-1.3640219,False,0.26466024,-1.6286821
8,group1.centroids_sample_1_17032_18532,92,1,8,-4.274839,False,4.63284,-8.907679
9,group1.centroids_sample_1_17032_18532,92,3,3,-1.433048,False,1.3385545,-2.7716026
10,group1.centroids_sample_1_17032_18532,92,8,1,-0.75923514,False,0.9212177,-1.6804528
11,group1.centroids_sample_1_17032_18532,95,3,6,-2.9278574,False,2.2767622,-5.2046194
12,group1.centroids_sample_1_17032_18532,95,6,3,-1.0409107,False,0.0,-1.0409107
13,group1.centroids_sample_1_17032_18532,100,3,1,0.0,False,1.19022,-1.19022
14,group1.centroids_sample_1_17032_18532,100,8,6,-5.0552845,False,4.8958077,-9.951092
15,group1.centroids_sample_1_17032_18532,101,3,6,-1.7112708,False,1.7121538,-3.4234247
16,group1.centroids_sample_1_17032_18532,101,8,1,0.0,False,4.02741,-4.02741
17,group1.centroids_sample_1_17032_18532,103,3,1,0.0,False,1.3374363,-1.3374363
18,group1.centroids_sample_1_17032_18532,103,8,6,-5.0911884,False,4.7955585,-9.886747
19,group1.centroids_sample_1_17032_18532,104,3,6,-1.2062194,False,1.1591711,-2.3653905
20,group1.centroids_sample_1_17032_18532,104,8,1,0.0,False,4.645099,-4.645099
21,group1.centroids_sample_1_17032_18532,139,0,8,-6.2672567,False,4.040516,-10.307773
22,group1.centroids_sample_1_17032_18532,139,1,0,-6.52241,False,6.4743633,-12.996773
23,group1.centroids_sample_1_17032_18532,140,0,0,-4.5994806,False,5.666092,-10.265573
