,model,dataset,id,CHOTA,HOTA,SEG,TRA,DET,idp,idr,idf1,mota,motp,num_switches,num_unique_objects,num_frames,num_instances,weights_x,normalized_length,normalized_instances,weights_y,normalized_weights
0,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_00,0.9786289772110304,0.9786289772110304,1.0,0.999745665719978,1.0,0.9718446601941748,0.9718446601941748,0.9718446601941748,1.0,1.0,0.0,33.0,42,33,0.07849814501956856,0.021750388399792854,0.13524590163934427,8.625241953969319,0.009100978898736154
1,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_01,0.9891705784915192,0.9891705784915192,1.0,0.9996063766975004,1.0,0.9810640216411182,0.9810640216411182,0.9810640216411182,0.9981965734896304,1.0,2.0,29.0,42,29,0.07030142370809314,0.021750388399792854,0.11885245901639344,8.625241953969319,0.00815066105777364
2,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_02,0.946439448300574,0.946439448300574,0.9999823121997812,0.9989712992490484,1.0,0.9321394910461828,0.9321394910461828,0.9321394910461828,0.996229971724788,1.0,8.0,65.0,42,65,0.14407191551137186,0.021750388399792854,0.26639344262295084,8.625241953969319,0.01670352162643626
3,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_03,0.982025405835934,0.982025405835934,1.0,0.9998382269675644,1.0,0.975925925925926,0.975925925925926,0.975925925925926,1.0,1.0,0.0,18.0,42,18,0.04776044010153577,0.021750388399792854,0.07377049180327869,8.625241953969319,0.005537286995126729
4,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_04,0.9822529001049476,0.9822529001049476,0.9998041991746242,0.9997547516860822,1.0,0.9775280898876404,0.9775280898876404,0.9775280898876404,1.0,1.0,0.0,22.0,42,22,0.055957161413011186,0.021750388399792854,0.09016393442622951,8.625241953969319,0.006487604836089243
5,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_05,0.9944238228785864,0.9944238228785864,1.0,0.99944988447574,1.0,0.9949622166246852,0.9949622166246852,0.9949622166246852,0.9974811083123426,1.0,1.0,14.0,50,14,0.041635184351945395,0.02589331952356292,0.05737704918032787,8.625241953969319,0.004827132337172868
6,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_06,0.9881100940210364,0.9881100940210364,1.0,0.9983040067839728,1.0,0.9902912621359224,0.9902912621359224,0.9902912621359224,0.9902912621359224,1.0,2.0,7.0,50,7,0.027290922056863426,0.02589331952356292,0.028688524590163935,8.625241953969319,0.0031640761154884704
7,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_07,0.9316912128053776,0.9316912128053776,0.999517468966856,0.9982579448924151,1.0,0.9080300632911392,0.9080300632911392,0.9080300632911392,0.9893196202531646,1.0,54.0,107.0,71,107,0.23764655194369688,0.03676851372345935,0.4385245901639344,8.625241953969319,0.027552450494949005
8,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_08,0.7667877362657233,0.7667877362657233,0.9844979635823924,0.9856759847760468,0.996230201390382,0.7740270909481832,0.773916159082766,0.773916159082766,0.939878179863848,1.0,839.0,244.0,71,244,0.5183842568617296,0.03676851372345935,1.0,8.625241953969319,0.06010083654791507
9,DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,test_09,0.8455397256440994,0.8455397256440994,0.9715314433654656,0.9775883481991644,0.98120957309185,0.8225540792796749,0.8225540792796749,0.8225540792796749,0.9817722630943232,1.0,166.0,225.0,65,225,0.4778962314608077,0.033661315380631794,0.9221311475409836,8.625241953969319,0.055406704416086645
