model,dataset,TRA,SEG,DET,MOTA,HOTA,IDF1,idp,idr,num_switches
DREEM,DynamicNuclearNet (cell nuclei) - Fluorescence,0.995327726288063,0.9937765937055092,0.9979969521820461,98.65802363212721,93.43049134269171,92.89931371997532,0.9290023815218714,0.9289931371997532,1541.0
DREEM,Lysosomes - Airyscan Confocal,0.9989974959494784,0.9928263530965781,0.9997073526597781,99.62135219209065,90.57236810909949,90.9011960702317,0.9090119607023172,0.9090119607023172,57.0
DREEM,MOTChallenge - DIC,0.9993681566013087,0.998335116904811,0.999660996448876,99.90432474135582,93.27386602307993,91.01945958480725,0.9101945958480725,0.9101945958480725,130.0
DREEM,Mouse C2C12 - Phase Contrast,0.995560593679004,0.979179824671178,0.9981995829527743,98.77941350858234,64.0732162615137,50.487990131065146,0.504919955680963,0.5048799013106514,1078.0
Trackastra,DynamicNuclearNet (cell nuclei) - Fluorescence,0.9954342493750797,1.0,1.0,97.13389147539665,90.01938556975199,89.30137440468242,0.8936273795544353,0.8930137440468241,1241.0
Trackastra,Lysosomes - Airyscan Confocal,0.9987350563193824,1.0,1.0,98.93264976825623,83.50472594444729,77.86819226553727,0.779487181250231,0.7786819226553727,112.0
Trackastra,MOTChallenge - DIC,0.9999634641999212,1.0,1.0,99.98316083731586,98.91379527078233,98.22271153681274,0.982665980920828,0.9822271153681273,23.0
Trackastra,Mouse C2C12 - Phase Contrast,0.9994516276902394,1.0,1.0,99.89033118517774,97.22335379361192,95.59448666783203,0.9570074701378956,0.9559448666783203,83.0
Trackmate,DynamicNuclearNet (cell nuclei) - Fluorescence,0.7761945880711293,0.7349914049515834,0.7947606542113917,95.86752637358138,74.87890118749375,71.74945330494906,0.8819315886616798,0.7174945330494906,4933.0
Trackmate,Lysosomes - Airyscan Confocal,0.9800467698287602,0.938340802911766,0.9824642810629488,97.34599193791777,73.22778278419811,68.83947627326147,0.7179497588058246,0.6883947627326146,378.0
Trackmate,MOTChallenge - DIC,0.8826036331387167,0.8231539395721034,0.911780810138216,99.9789814628457,82.54453718768373,75.71595453014436,0.9127416670730055,0.7571595453014436,29.0
Trackmate,Mouse C2C12 - Phase Contrast,0.9289943810879859,0.9013207939936044,0.9312954108336529,98.29476096611641,64.35669074415436,39.666002564891144,0.5249893999661064,0.39666002564891145,1546.0
