Mean Entropy,Frame Type
0.518608104045151,Non-Switch
1.5122110022799292e-05,Non-Switch
3.885914294493965e-05,Non-Switch
3.7058237744123626e-05,Non-Switch
2.923295537339161e-05,Non-Switch
2.694989753809e-05,Non-Switch
3.173389046809671e-05,Non-Switch
3.168973584693134e-05,Non-Switch
2.74212317274468e-05,Non-Switch
3.3531361714949295e-05,Non-Switch
3.794480385856666e-05,Non-Switch
3.456121676087926e-05,Non-Switch
1.9607123780677776e-05,Non-Switch
2.206688785356279e-05,Non-Switch
3.794808548670337e-05,Non-Switch
3.407259855733522e-05,Non-Switch
6.81257590146074e-05,Non-Switch
5.314897114193877e-05,Non-Switch
3.287860581024252e-05,Non-Switch
3.971472399936736e-05,Non-Switch
3.7331417557207356e-05,Non-Switch
4.951025484163505e-05,Non-Switch
4.914477551184649e-05,Non-Switch
1.0716055681778292e-05,Non-Switch
0.00012651787120977135,Non-Switch
9.162602461911434e-05,Non-Switch
0.0002468419093902525,Non-Switch
0.0007422140281598794,Non-Switch
0.00023080043684022916,Non-Switch
0.00014628129950154385,Non-Switch
0.0009534605973087433,Non-Switch
0.00018836749488862056,Non-Switch
0.0001332970327854235,Non-Switch
0.00010303585159016174,Non-Switch
1.5778068081298398e-05,Non-Switch
0.00023139294456903353,Non-Switch
0.00017534617988229488,Non-Switch
0.00023571671978360367,Non-Switch
0.00023629727986930284,Non-Switch
0.00031898771254379406,Non-Switch
0.00032954768061320915,Non-Switch
0.0030951921333036226,Non-Switch
0.00018653391579797113,Non-Switch
0.000321353875707585,Non-Switch
0.0005623976548292175,Non-Switch
9.609862216639888e-06,Non-Switch
0.00038642937627056064,Non-Switch
0.00013464695750762168,Non-Switch
0.00046681778157717593,Non-Switch
0.00028920515234183945,Non-Switch
0.00027073348679790266,Non-Switch
0.00016315588835798335,Non-Switch
0.00010112379820729865,Non-Switch
0.0008276135557941632,Non-Switch
0.00016508948591103557,Non-Switch
0.00021288056166932583,Non-Switch
1.1488630750647146e-05,Non-Switch
0.0003475301815674843,Non-Switch
0.0007356030342969363,Non-Switch
0.004605539104573281,Non-Switch
0.0006149488464441748,Non-Switch
0.0002341868916371763,Non-Switch
0.0001242478455112326,Non-Switch
0.0012347106591840294,Non-Switch
0.0002569498273888316,Non-Switch
0.00041104975990762763,Non-Switch
0.0003737607684045954,Non-Switch
1.1719184995837072e-05,Non-Switch
5.929119883027792e-05,Non-Switch
0.00014241145525062672,Non-Switch
0.001991179894529637,Non-Switch
0.0004314763088831866,Non-Switch
0.001512797324255596,Non-Switch
0.00030693866017517064,Non-Switch
0.0005140278204037007,Non-Switch
0.00216125605116172,Non-Switch
0.0002101824606605059,Non-Switch
0.00011266985082747618,Non-Switch
9.552203579791873e-06,Non-Switch
0.0005734996909102035,Non-Switch
0.0001896956701319066,Non-Switch
0.0009317233044627658,Non-Switch
0.0002547164923459485,Non-Switch
0.00040283062917759427,Non-Switch
0.0027504129296754194,Non-Switch
0.0007483572890146956,Non-Switch
0.00041361296646258585,Non-Switch
0.0001943507473967507,Non-Switch
0.0005077835741486253,Non-Switch
1.1307552596265067e-05,Non-Switch
0.00022069524746080714,Non-Switch
0.00043014461027729965,Non-Switch
0.0007066887842902343,Non-Switch
0.0001499320992136244,Non-Switch
0.00023777407213658032,Non-Switch
0.00011298145648606785,Non-Switch
0.00034733279378749136,Non-Switch
6.290928160392187e-05,Non-Switch
0.00010571026924435632,Non-Switch
0.00015763836875364672,Non-Switch
8.246352348699198e-06,Non-Switch
6.847077701214901e-05,Non-Switch
0.00014308784814992464,Non-Switch
7.340335881898353e-05,Non-Switch
2.964742732505971e-05,Non-Switch
6.032750454382676e-05,Non-Switch
4.812495410189455e-05,Non-Switch
0.00010441012195318844,Non-Switch
0.0001192925141733192,Non-Switch
0.0001734109001222866,Non-Switch
8.716938154646416e-05,Non-Switch
0.19344336528255318,Non-Switch
1.227038013914542e-05,Non-Switch
0.0002182145485210399,Non-Switch
0.000556296303445338,Non-Switch
7.002271227203821e-05,Non-Switch
6.137933424597792e-05,Non-Switch
0.000864449543534227,Non-Switch
0.00012900153719172877,Non-Switch
0.0005925295047747242,Non-Switch
4.990487476436312e-05,Non-Switch
0.00014605422805392485,Non-Switch
8.598493565499017e-05,Non-Switch
1.3280306165364237e-05,Non-Switch
5.4962535943528394e-05,Non-Switch
4.7444494765309155e-05,Non-Switch
0.00011288119960063191,Non-Switch
0.00012697914030455545,Non-Switch
5.105013649262654e-05,Non-Switch
5.912127605913049e-05,Non-Switch
4.0259037161167015e-05,Non-Switch
3.457886999962477e-05,Non-Switch
4.914484505189782e-05,Non-Switch
3.590827047238668e-05,Non-Switch
1.1871001690047576e-05,Non-Switch
2.1880419517344658e-05,Non-Switch
4.679336808466218e-05,Non-Switch
4.057226210952544e-05,Non-Switch
2.4198556997112697e-05,Non-Switch
5.584635688165929e-05,Non-Switch
5.707046047097913e-05,Non-Switch
3.953728096838293e-05,Non-Switch
2.0281208612557653e-05,Non-Switch
5.474177939485662e-05,Non-Switch
6.572742860992848e-05,Non-Switch
1.2603303134901638e-05,Non-Switch
8.015885690859644e-05,Non-Switch
0.00011949720034727104,Non-Switch
6.882139132810742e-05,Non-Switch
0.00025192675741805793,Non-Switch
0.00010674157469707122,Non-Switch
4.5169379397299067e-05,Non-Switch
3.1666416749717714e-05,Non-Switch
7.419822147430458e-05,Non-Switch
4.090255086190855e-05,Non-Switch
3.117152669582965e-05,Non-Switch
1.2785345743567086e-05,Non-Switch
3.761049502893031e-05,Non-Switch
4.5797554549575174e-05,Non-Switch
4.846214387651469e-05,Non-Switch
0.00022943326618530047,Non-Switch
0.00013147846110013792,Non-Switch
4.306524976979249e-05,Non-Switch
5.733715650213382e-05,Non-Switch
6.139283163879854e-05,Non-Switch
0.0003517045715060673,Non-Switch
7.635851959470202e-05,Non-Switch
1.2015943853469172e-05,Non-Switch
1.0777923147447454e-05,Non-Switch
1.0602881731807272e-05,Non-Switch
1.2263446002598225e-05,Non-Switch
8.834654560113431e-06,Non-Switch
0.04738973688904813,Non-Switch
1.2217812827484279e-05,Non-Switch
1.2949298004592934e-05,Non-Switch
8.997659751868745e-06,Non-Switch
1.3021969841809067e-05,Non-Switch
1.3351666675898092e-05,Non-Switch
1.7656104789051153e-05,Non-Switch
1.6667008491779797e-05,Non-Switch
1.4079201315804837e-05,Non-Switch
1.4947183679386912e-05,Non-Switch
1.6743923099984993e-05,Non-Switch
0.009624023511642007,Non-Switch
3.338247315361456e-05,Non-Switch
2.4830866471012095e-05,Non-Switch
3.2544803629551596e-05,Non-Switch
1.8771565293887418e-05,Non-Switch
0.21031242770501604,Non-Switch
0.29185096537807304,Non-Switch
0.11677500865131933,Non-Switch
0.026401421284954388,Non-Switch
0.004643713069392438,Non-Switch
0.0030222217573356858,Non-Switch
0.002486261614044898,Non-Switch
0.001049099387541419,Non-Switch
0.0002037619932924908,Non-Switch
8.200431079086872e-05,Non-Switch
6.6217818429066e-05,Non-Switch
4.6126051817778704e-05,Non-Switch
6.168562174635814e-05,Non-Switch
8.834498591712585e-05,Non-Switch
4.493011857211071e-05,Non-Switch
4.879379362704532e-05,Non-Switch
3.7580291466634725e-05,Non-Switch
0.0003671165807571493,Non-Switch
3.1756232693160664e-05,Non-Switch
2.7161607257226464e-05,Non-Switch
2.854241272936295e-05,Non-Switch
4.24076657986646e-05,Non-Switch
2.4571150936438823e-05,Non-Switch
2.098076166038045e-05,Non-Switch
2.9375148221212294e-05,Non-Switch
3.6444606396869146e-05,Non-Switch
4.8777368929206694e-05,Non-Switch
6.641349751065472e-05,Non-Switch
7.022482215265971e-05,Non-Switch
4.6535129448321976e-05,Non-Switch
5.998233422045842e-05,Non-Switch
3.694221182419021e-05,Non-Switch
1.989967877663525e-05,Non-Switch
3.465759927202665e-05,Non-Switch
3.877431401660657e-05,Non-Switch
3.514633337565625e-05,Non-Switch
1.9498419434720404e-05,Non-Switch
3.5382845713101445e-05,Non-Switch
2.6629370884341622e-05,Non-Switch
1.1957915164205135e-05,Non-Switch
2.1908810071159065e-05,Non-Switch
1.5104019675159693e-05,Non-Switch
9.172515561800489e-05,Non-Switch
3.0994232679240934e-05,Non-Switch
3.101714447043961e-05,Non-Switch
6.685912340531994e-05,Non-Switch
2.649377937425104e-05,Non-Switch
5.182952814224153e-05,Non-Switch
2.8502317922623014e-05,Non-Switch
3.462765731278132e-05,Non-Switch
1.2002450599937328e-05,Non-Switch
2.5238301631771505e-05,Non-Switch
4.616267624481403e-05,Non-Switch
3.545022339998098e-05,Non-Switch
4.024355290973689e-05,Non-Switch
