Mean Entropy,Frame Type
0.7077439573710118,Non-Switch
1.0382989427797331e-05,Non-Switch
8.759102135939667e-06,Non-Switch
1.0822268351893992e-05,Non-Switch
1.0471440524322592e-05,Non-Switch
1.0598611246468767e-05,Non-Switch
1.0766370572494065e-05,Non-Switch
1.03110647283744e-05,Non-Switch
1.0703330879978168e-05,Non-Switch
1.0785131418888258e-05,Non-Switch
1.0206406006703941e-05,Non-Switch
1.0397018439503033e-05,Non-Switch
1.1903133705963301e-05,Non-Switch
8.584021206873517e-06,Non-Switch
1.0486827870036703e-05,Non-Switch
1.049742957560459e-05,Non-Switch
1.1484445013823731e-05,Non-Switch
1.1643184311699007e-05,Non-Switch
2.279523646600719e-05,Non-Switch
0.0001247384799308994,Non-Switch
0.0012160991793757246,Non-Switch
0.02256419747106372,Non-Switch
0.06870360809054295,Non-Switch
0.008992062046636018,Non-Switch
8.728918289349184e-06,Non-Switch
0.0013641313860801663,Non-Switch
0.0004603614130497661,Non-Switch
0.00039073317117074147,Non-Switch
9.972780272756902e-05,Non-Switch
0.003949766894531174,Non-Switch
0.00024665337938526615,Non-Switch
0.000737499884616188,Non-Switch
9.307638422507458e-05,Non-Switch
2.81313876606177e-05,Non-Switch
3.5782956224201855e-05,Non-Switch
8.694207677927979e-06,Non-Switch
2.097911953202652e-05,Non-Switch
2.2252453099588024e-05,Non-Switch
1.9623995577528084e-05,Non-Switch
1.631823596873174e-05,Non-Switch
1.7869669643364994e-05,Non-Switch
1.5532096608173446e-05,Non-Switch
2.9523330791362057e-05,Non-Switch
2.0104776783088e-05,Non-Switch
1.6750447089116475e-05,Non-Switch
1.5712964161939105e-05,Non-Switch
8.428662516059531e-06,Non-Switch
1.3801617658956224e-05,Non-Switch
1.382382002425065e-05,Non-Switch
1.3140102905676323e-05,Non-Switch
1.3228285990110238e-05,Non-Switch
1.3330273727643082e-05,Non-Switch
1.2662728702307907e-05,Non-Switch
1.2888560360383367e-05,Non-Switch
1.2815154488076827e-05,Non-Switch
1.2803854326755735e-05,Non-Switch
1.2778941384628382e-05,Non-Switch
8.685672914094864e-06,Non-Switch
1.2370883838778854e-05,Non-Switch
1.2473041114263421e-05,Non-Switch
1.2298540878061853e-05,Non-Switch
1.283215701272022e-05,Non-Switch
1.3151728945335755e-05,Non-Switch
1.2426189758143725e-05,Non-Switch
1.2106006676744138e-05,Non-Switch
1.2079997321515826e-05,Non-Switch
1.215311183219276e-05,Non-Switch
1.1977007584232381e-05,Non-Switch
8.900307960975436e-06,Non-Switch
1.2395711504331688e-05,Non-Switch
1.2015000328575252e-05,Non-Switch
1.2207711174225902e-05,Non-Switch
1.2714383972125509e-05,Non-Switch
1.252264162471404e-05,Non-Switch
1.2594885096094102e-05,Non-Switch
1.2115748510185625e-05,Non-Switch
1.1826988831298993e-05,Non-Switch
1.247224519956791e-05,Non-Switch
1.2329857684856663e-05,Non-Switch
8.40188973244981e-06,Non-Switch
1.2519180817064809e-05,Non-Switch
1.197821059305149e-05,Non-Switch
1.2576581088491975e-05,Non-Switch
1.1852216484594214e-05,Non-Switch
1.1773776248799103e-05,Non-Switch
1.174367260279656e-05,Non-Switch
1.2150100756954384e-05,Non-Switch
1.2498628147408401e-05,Non-Switch
1.2086756505243776e-05,Non-Switch
1.1947277530842018e-05,Non-Switch
8.41410458655235e-06,Non-Switch
1.188788544228144e-05,Non-Switch
1.188685095621674e-05,Non-Switch
1.230082405682487e-05,Non-Switch
1.1886898670490579e-05,Non-Switch
1.218112011093569e-05,Non-Switch
1.2428892213398127e-05,Non-Switch
1.1772826024111604e-05,Non-Switch
1.181767845671668e-05,Non-Switch
1.1818177933796006e-05,Non-Switch
1.1522209338770569e-05,Non-Switch
8.42134598900526e-06,Non-Switch
1.1994618212067883e-05,Non-Switch
1.173173185196926e-05,Non-Switch
1.229728000299575e-05,Non-Switch
1.2161552182675514e-05,Non-Switch
1.1805653444512178e-05,Non-Switch
1.1865181569513059e-05,Non-Switch
1.2497003831703276e-05,Non-Switch
1.1846804467704201e-05,Non-Switch
1.1850853074599225e-05,Non-Switch
1.1919839792990511e-05,Non-Switch
9.964566717354475e-06,Non-Switch
8.82742288489185e-06,Non-Switch
1.1829312617954638e-05,Non-Switch
1.1930799863210841e-05,Non-Switch
1.1812118221018574e-05,Non-Switch
1.2059485259752044e-05,Non-Switch
1.1560405122576581e-05,Non-Switch
1.2000670818464105e-05,Non-Switch
1.1803120527209499e-05,Non-Switch
1.1649762790304763e-05,Non-Switch
1.1626803087812824e-05,Non-Switch
1.176318266480974e-05,Non-Switch
8.359809803713918e-06,Non-Switch
1.2175187297822723e-05,Non-Switch
1.1711044161069863e-05,Non-Switch
1.1861467977732216e-05,Non-Switch
1.2079666367190906e-05,Non-Switch
1.190539759597732e-05,Non-Switch
1.1610617797008569e-05,Non-Switch
1.1830013104102473e-05,Non-Switch
1.2098360210562262e-05,Non-Switch
1.1604147944515594e-05,Non-Switch
1.19570772305305e-05,Non-Switch
8.380895451961071e-06,Non-Switch
1.1857515814582184e-05,Non-Switch
1.1891591927681074e-05,Non-Switch
1.1933886063050579e-05,Non-Switch
1.2280718073987371e-05,Non-Switch
1.1689998105518023e-05,Non-Switch
1.2317695621014538e-05,Non-Switch
1.22569289552885e-05,Non-Switch
1.1627527938696236e-05,Non-Switch
1.1794335009639405e-05,Non-Switch
1.1783232811794876e-05,Non-Switch
8.61137468334782e-06,Non-Switch
1.18045945937119e-05,Non-Switch
1.1895373537682067e-05,Non-Switch
1.2051246933535115e-05,Non-Switch
1.2751248832250634e-05,Non-Switch
1.1933264762293369e-05,Non-Switch
1.2378493757857364e-05,Non-Switch
1.2428605927755098e-05,Non-Switch
1.2491891298021395e-05,Non-Switch
1.2210558802696449e-05,Non-Switch
1.2553819349476597e-05,Non-Switch
8.642254955296876e-06,Non-Switch
1.258564781571852e-05,Non-Switch
1.258650768784492e-05,Non-Switch
1.1974762982967361e-05,Non-Switch
1.2453395015809936e-05,Non-Switch
1.2373598476401044e-05,Non-Switch
1.236616215606352e-05,Non-Switch
1.2539792368165528e-05,Non-Switch
1.2385587956699497e-05,Non-Switch
1.2372735558682696e-05,Non-Switch
1.2067404814011844e-05,Non-Switch
8.918685062784293e-06,Non-Switch
1.2113781057787792e-05,Non-Switch
1.2292965414404014e-05,Non-Switch
1.2122324958396748e-05,Non-Switch
1.2703724400310626e-05,Non-Switch
1.258741730463979e-05,Non-Switch
1.2389112721779618e-05,Non-Switch
1.2799417914486112e-05,Non-Switch
1.234916064661744e-05,Non-Switch
1.2347829722936552e-05,Non-Switch
1.2240717269354039e-05,Non-Switch
8.469332843322568e-06,Non-Switch
1.3061634244356371e-05,Non-Switch
1.218887926401961e-05,Non-Switch
1.2069648400079548e-05,Non-Switch
1.2478621653907841e-05,Non-Switch
1.2212813555934625e-05,Non-Switch
1.1901851511753569e-05,Non-Switch
1.2487102612283224e-05,Non-Switch
1.2803665500055014e-05,Non-Switch
1.231533731765016e-05,Non-Switch
1.2650932109499436e-05,Non-Switch
8.581649705944035e-06,Non-Switch
1.227411726104067e-05,Non-Switch
1.2618957454844053e-05,Non-Switch
1.2308388292024173e-05,Non-Switch
1.2920633489178373e-05,Non-Switch
1.291899699110546e-05,Non-Switch
1.329776507919964e-05,Non-Switch
1.2593457728668224e-05,Non-Switch
1.3125041438300552e-05,Non-Switch
1.2891117642421623e-05,Non-Switch
1.2702485859585469e-05,Non-Switch
8.429487871477197e-06,Non-Switch
1.2300047430878357e-05,Non-Switch
1.3003099997527564e-05,Non-Switch
1.2652138163910492e-05,Non-Switch
1.2792768372068258e-05,Non-Switch
1.2474049205197914e-05,Non-Switch
1.2076622805638428e-05,Non-Switch
1.344388242884878e-05,Non-Switch
1.1872497081370014e-05,Non-Switch
1.2287389950746172e-05,Non-Switch
1.2668259497283856e-05,Non-Switch
8.888664662961637e-06,Non-Switch
1.2263132826084762e-05,Non-Switch
1.2367094107199334e-05,Non-Switch
1.2537029001072184e-05,Non-Switch
1.2551219429151082e-05,Non-Switch
1.2171109250205544e-05,Non-Switch
1.2687140136961301e-05,Non-Switch
1.2288686357718324e-05,Non-Switch
1.2248158665678142e-05,Non-Switch
1.2268437232059311e-05,Non-Switch
1.291508442065074e-05,Non-Switch
9.335366709830719e-06,Non-Switch
9.055663606197475e-06,Non-Switch
1.239600388115861e-05,Non-Switch
1.2668154931960339e-05,Non-Switch
1.178837986218549e-05,Non-Switch
1.2090081276452703e-05,Non-Switch
1.274172120544276e-05,Non-Switch
1.1716003399957073e-05,Non-Switch
1.1880863322448723e-05,Non-Switch
1.1976720283392038e-05,Non-Switch
1.2385733129915643e-05,Non-Switch
1.2313845992793393e-05,Non-Switch
8.865438978772983e-06,Non-Switch
1.222363555932002e-05,Non-Switch
1.2077479632172881e-05,Non-Switch
1.2386541226978942e-05,Non-Switch
1.2110331417309033e-05,Non-Switch
1.184067369111467e-05,Non-Switch
1.181606733857666e-05,Non-Switch
1.1580601457975177e-05,Non-Switch
1.2578828735348943e-05,Non-Switch
1.1499904438547257e-05,Non-Switch
1.2423931959313601e-05,Non-Switch
8.869278455020971e-06,Non-Switch
1.1767592681949155e-05,Non-Switch
1.2307367003524577e-05,Non-Switch
