num_instances,num_switches,num_frames,switches_per_frame,instance_bin
1,3,415,0.007228915662650603,1-5
2,1,274,0.0036496350364963502,1-5
3,27,1136,0.023767605633802816,1-5
4,34,3462,0.009820912767186597,1-5
5,52,2892,0.017980636237897647,6-10
6,20,1005,0.01990049751243781,6-10
7,38,941,0.040382571732199786,6-10
8,11,557,0.019748653500897665,6-10
9,12,271,0.04428044280442804,6-10
10,17,374,0.045454545454545456,11-15
11,7,531,0.013182674199623353,11-15
12,18,830,0.021686746987951807,11-15
13,21,534,0.03932584269662921,11-15
14,23,321,0.07165109034267912,11-15
15,23,1085,0.02119815668202765,16-20
16,44,773,0.056921086675291076,16-20
17,25,1164,0.02147766323024055,16-20
18,25,475,0.05263157894736842,16-20
19,5,112,0.044642857142857144,16-20
20,2,58,0.034482758620689655,21-30
21,1,45,0.022222222222222223,21-30
22,1,80,0.0125,21-30
23,8,125,0.064,21-30
24,14,61,0.22950819672131148,21-30
26,26,123,0.21138211382113822,21-30
27,2,67,0.029850746268656716,21-30
28,11,55,0.2,21-30
29,20,150,0.13333333333333333,21-30
30,3,60,0.05,31-40
31,4,46,0.08695652173913043,31-40
38,9,55,0.16363636363636364,31-40
39,1,60,0.016666666666666666,31-40
40,1,18,0.05555555555555555,41-50
41,2,61,0.03278688524590164,41-50
43,2,9,0.2222222222222222,41-50
44,1,8,0.125,41-50
46,1,2,0.5,41-50
47,4,30,0.13333333333333333,41-50
48,8,45,0.17777777777777778,41-50
49,30,88,0.3409090909090909,41-50
50,9,30,0.3,51-60
51,2,20,0.1,51-60
52,1,26,0.038461538461538464,51-60
53,2,36,0.05555555555555555,51-60
55,5,9,0.5555555555555556,51-60
59,8,17,0.47058823529411764,51-60
60,12,28,0.42857142857142855,61-70
61,7,12,0.5833333333333334,61-70
62,6,11,0.5454545454545454,61-70
63,5,15,0.3333333333333333,61-70
64,3,12,0.25,61-70
65,2,6,0.3333333333333333,61-70
66,1,6,0.16666666666666666,61-70
68,1,4,0.25,61-70
70,2,4,0.5,71-80
71,3,6,0.5,71-80
72,2,6,0.3333333333333333,71-80
74,1,16,0.0625,71-80
77,4,2,2.0,71-80
78,3,2,1.5,71-80
79,6,2,3.0,71-80
80,2,1,2.0,81-90
81,4,1,4.0,81-90
82,1,1,1.0,81-90
83,6,4,1.5,81-90
84,6,6,1.0,81-90
85,5,6,0.8333333333333334,81-90
87,3,1,3.0,81-90
89,1,1,1.0,81-90
90,1,1,1.0,91-100
91,1,1,1.0,91-100
93,4,2,2.0,91-100
94,4,3,1.3333333333333333,91-100
97,2,2,1.0,91-100
98,2,1,2.0,91-100
99,5,5,1.0,91-100
101,3,2,1.5,101-150
120,1,3,0.3333333333333333,101-150
121,4,10,0.4,101-150
122,6,4,1.5,101-150
124,2,1,2.0,101-150
126,3,3,1.0,101-150
129,1,2,0.5,101-150
131,1,1,1.0,101-150
134,3,1,3.0,101-150
137,3,2,1.5,101-150
142,2,1,2.0,101-150
145,1,1,1.0,101-150
146,2,1,2.0,101-150
147,8,3,2.6666666666666665,101-150
150,9,1,9.0,151-200
151,4,1,4.0,151-200
154,15,3,5.0,151-200
155,4,1,4.0,151-200
157,7,3,2.3333333333333335,151-200
158,8,2,4.0,151-200
159,4,1,4.0,151-200
160,2,1,2.0,151-200
161,5,1,5.0,151-200
162,1,1,1.0,151-200
163,4,1,4.0,151-200
164,3,1,3.0,151-200
166,3,1,3.0,151-200
167,14,3,4.666666666666667,151-200
168,9,2,4.5,151-200
169,15,3,5.0,151-200
170,4,1,4.0,151-200
176,14,2,7.0,151-200
177,11,1,11.0,151-200
178,89,10,8.9,151-200
179,52,8,6.5,151-200
180,50,6,8.333333333333334,151-200
181,25,7,3.5714285714285716,151-200
182,25,5,5.0,151-200
183,13,2,6.5,151-200
184,14,3,4.666666666666667,151-200
185,41,6,6.833333333333333,151-200
186,29,4,7.25,151-200
187,3,1,3.0,151-200
190,33,3,11.0,151-200
191,153,10,15.3,151-200
192,87,6,14.5,151-200
193,98,7,14.0,151-200
194,50,5,10.0,151-200
195,13,2,6.5,151-200
196,10,2,5.0,151-200
197,2,2,1.0,151-200
198,15,3,5.0,151-200
199,14,4,3.5,151-200
200,17,3,5.666666666666667,
201,15,4,3.75,
202,24,3,8.0,
203,13,5,2.6,
204,4,3,1.3333333333333333,
205,3,3,1.0,
206,5,3,1.6666666666666667,
