method,num_instances,num_switches,num_frames,switches_per_frame,instance_bin
DREEM,3,7,1136,0.006161971830985915,1-5
DREEM,4,11,3465,0.0031746031746031746,1-5
DREEM,5,16,2898,0.005521048999309869,6-10
DREEM,6,85,1005,0.0845771144278607,6-10
DREEM,7,12,941,0.012752391073326248,6-10
DREEM,8,7,557,0.012567324955116697,6-10
DREEM,9,10,271,0.03690036900369004,6-10
DREEM,10,10,374,0.026737967914438502,11-15
DREEM,11,13,531,0.02448210922787194,11-15
DREEM,12,50,830,0.060240963855421686,11-15
DREEM,13,14,534,0.026217228464419477,11-15
DREEM,14,30,321,0.09345794392523364,11-15
DREEM,15,28,1085,0.025806451612903226,16-20
DREEM,16,41,773,0.05304010349288486,16-20
DREEM,17,15,1164,0.01288659793814433,16-20
DREEM,18,20,475,0.042105263157894736,16-20
DREEM,19,3,112,0.026785714285714284,16-20
DREEM,20,1,58,0.017241379310344827,21-30
DREEM,21,7,45,0.15555555555555556,21-30
DREEM,22,14,80,0.175,21-30
DREEM,23,36,125,0.288,21-30
DREEM,24,10,61,0.16393442622950818,21-30
DREEM,25,6,44,0.13636363636363635,21-30
DREEM,26,7,123,0.056910569105691054,21-30
DREEM,27,6,67,0.08955223880597014,21-30
DREEM,28,23,55,0.41818181818181815,21-30
DREEM,29,56,150,0.37333333333333335,21-30
DREEM,30,12,60,0.2,31-40
DREEM,31,9,46,0.1956521739130435,31-40
DREEM,32,24,11,2.1818181818181817,31-40
DREEM,33,8,5,1.6,31-40
DREEM,35,4,12,0.3333333333333333,31-40
DREEM,36,7,12,0.5833333333333334,31-40
DREEM,38,31,55,0.5636363636363636,31-40
DREEM,39,60,60,1.0,31-40
DREEM,40,24,18,1.3333333333333333,41-50
DREEM,41,84,61,1.3770491803278688,41-50
DREEM,42,20,20,1.0,41-50
DREEM,43,4,9,0.4444444444444444,41-50
DREEM,44,5,8,0.625,41-50
DREEM,45,4,10,0.4,41-50
DREEM,47,15,30,0.5,41-50
DREEM,48,42,45,0.9333333333333333,41-50
DREEM,49,111,88,1.2613636363636365,41-50
DREEM,50,45,30,1.5,51-60
DREEM,51,27,20,1.35,51-60
DREEM,52,40,26,1.5384615384615385,51-60
DREEM,53,44,36,1.2222222222222223,51-60
DREEM,54,23,14,1.6428571428571428,51-60
DREEM,55,15,9,1.6666666666666667,51-60
DREEM,56,3,3,1.0,51-60
DREEM,57,7,6,1.1666666666666667,51-60
DREEM,59,26,17,1.5294117647058822,51-60
DREEM,60,25,28,0.8928571428571429,61-70
DREEM,61,13,12,1.0833333333333333,61-70
DREEM,62,15,11,1.3636363636363635,61-70
DREEM,63,24,15,1.6,61-70
DREEM,64,17,12,1.4166666666666667,61-70
DREEM,65,9,6,1.5,61-70
DREEM,66,11,6,1.8333333333333333,61-70
DREEM,68,1,4,0.25,61-70
DREEM,70,4,4,1.0,71-80
DREEM,71,12,6,2.0,71-80
