id,dataset,method,model,chunk,variable,value
11-2.,Lysosomes - Airyscan Confocal,DREEM,,0,count,8.0
11-2.,Lysosomes - Airyscan Confocal,DREEM,,4,count,3.0
11-2.,Lysosomes - Airyscan Confocal,DREEM,,3,count,8.0
11-2.,Lysosomes - Airyscan Confocal,DREEM,,2,count,12.0
11-2.,Lysosomes - Airyscan Confocal,DREEM,,1,count,1.0
7-2.,Lysosomes - Airyscan Confocal,DREEM,,1,count,2.0
7-2.,Lysosomes - Airyscan Confocal,DREEM,,0,count,2.0
8-1.,Lysosomes - Airyscan Confocal,DREEM,,2,count,0.0
8-1.,Lysosomes - Airyscan Confocal,DREEM,,1,count,0.0
8-1.,Lysosomes - Airyscan Confocal,DREEM,,0,count,0.0
8-2.,Lysosomes - Airyscan Confocal,DREEM,,0,count,0.0
8-2.,Lysosomes - Airyscan Confocal,DREEM,,2,count,0.0
8-2.,Lysosomes - Airyscan Confocal,DREEM,,1,count,0.0
8-3.,Lysosomes - Airyscan Confocal,DREEM,,1,count,0.0
8-3.,Lysosomes - Airyscan Confocal,DREEM,,2,count,0.0
8-3.,Lysosomes - Airyscan Confocal,DREEM,,0,count,0.0
9-1.,Lysosomes - Airyscan Confocal,DREEM,,0,count,2.0
9-1.,Lysosomes - Airyscan Confocal,DREEM,,1,count,8.0
9-1.,Lysosomes - Airyscan Confocal,DREEM,,2,count,2.0
9-1.,Lysosomes - Airyscan Confocal,DREEM,,3,count,5.0
9-1.,Lysosomes - Airyscan Confocal,DREEM,,4,count,1.0
9-2.,Lysosomes - Airyscan Confocal,DREEM,,0,count,2.0
9-2.,Lysosomes - Airyscan Confocal,DREEM,,1,count,0.0
9-2.,Lysosomes - Airyscan Confocal,DREEM,,2,count,1.0
9-2.,Lysosomes - Airyscan Confocal,DREEM,,3,count,0.0
9-2.,Lysosomes - Airyscan Confocal,DREEM,,4,count,0.0
test_00,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,0.0
test_01,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,2.0
test_02,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,8.0
test_03,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,0.0
test_04,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,0.0
test_05,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,1.0
test_06,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,2.0
test_07,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,54.0
test_08,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,839.0
test_09,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,166.0
test_10,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,47.0
test_11,DynamicNuclearNet (cell nuclei) - Fluorescence,DREEM,,0,count,422.0
A-10-run03,MOTChallenge - DIC,DREEM,,18,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,17,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,16,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,15,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,14,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,13,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,12,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,10,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,9,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,11,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,7,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,1,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,2,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,3,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,0,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,5,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,6,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,8,count,0.0
A-10-run03,MOTChallenge - DIC,DREEM,,4,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,9,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,15,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,14,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,13,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,12,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,11,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,10,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,8,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,7,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,6,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,5,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,4,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,3,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,2,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,1,count,0.0
A-10-run05,MOTChallenge - DIC,DREEM,,0,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,18,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,17,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,16,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,15,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,14,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,13,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,12,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,11,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,10,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,0,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,8,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,7,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,6,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,5,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,4,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,3,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,2,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,1,count,0.0
BPAE-run03,MOTChallenge - DIC,DREEM,,9,count,2.0
BPAE-run05,MOTChallenge - DIC,DREEM,,12,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,13,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,14,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,11,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,16,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,17,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,15,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,10,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,9,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,0,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,7,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,6,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,5,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,4,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,3,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,2,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,1,count,0.0
BPAE-run05,MOTChallenge - DIC,DREEM,,8,count,0.0
CRE-BAG2-run01,MOTChallenge - DIC,DREEM,,13,count,8.0
