segment_length,type
2559,Predicted
2559,Predicted
2529,Predicted
2219,Predicted
1,Predicted
329,Predicted
42233,Predicted
42204,Predicted
23183,Predicted
3874,Predicted
6580,Predicted
1,Predicted
1,Predicted
1,Predicted
8556,Predicted
3,Predicted
1092,Predicted
1,Predicted
22066,Predicted
3885,Predicted
85,Predicted
3,Predicted
1054,Predicted
1,Predicted
1066,Predicted
1,Predicted
4,Predicted
1,Predicted
3629,Predicted
1,Predicted
9286,Predicted
3,Predicted
1213,Predicted
69,Predicted
2986,Predicted
1,Predicted
2,Predicted
5,Predicted
12423,Predicted
4,Predicted
48,Predicted
7758,Predicted
1,Predicted
1680,Predicted
1,Predicted
8,Predicted
1,Predicted
788,Predicted
1,Predicted
1,Predicted
1,Predicted
46,Predicted
14,Predicted
1,Predicted
1,Predicted
1,Predicted
5,Predicted
2,Predicted
184,Predicted
5937,Predicted
8544,Predicted
1155,Predicted
4,Predicted
55,Predicted
93,Predicted
33,Predicted
3,Predicted
1,Predicted
1,Predicted
3000,Predicted
1,Predicted
2,Predicted
5,Predicted
12480,Predicted
7824,Predicted
1,Predicted
1878,Predicted
2,Predicted
412,Predicted
124,Predicted
5856,Predicted
8575,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
2499,Predicted
1499,Predicted
1499,Predicted
876,Predicted
623,Predicted
876,Predicted
623,Predicted
1499,Predicted
1499,Predicted
1499,Predicted
1499,Predicted
1499,Predicted
1499,Predicted
1499,Predicted
1499,Predicted
205,Predicted
4,Predicted
1290,Predicted
205,Predicted
4,Predicted
1290,Predicted
1499,Predicted
1499,Predicted
1499,Predicted
1499,Predicted
161,Predicted
884,Predicted
454,Predicted
1499,Predicted
1499,Predicted
1335,Predicted
2,Predicted
162,Predicted
1045,Predicted
454,Predicted
1499,Predicted
161,Predicted
1338,Predicted
906,Predicted
593,Predicted
1499,Predicted
906,Predicted
593,Predicted
1499,Predicted
1499,Predicted
62,Predicted
269,Predicted
1,Predicted
930,Predicted
1,Predicted
236,Predicted
62,Predicted
1437,Predicted
1499,Predicted
1499,Predicted
1262,Predicted
1,Predicted
236,Predicted
1499,Predicted
1499,Predicted
331,Predicted
1,Predicted
1167,Predicted
23,Predicted
1,Predicted
386,Predicted
1,Predicted
1088,Predicted
381,Predicted
1118,Predicted
655,Predicted
844,Predicted
66,Predicted
1,Predicted
1432,Predicted
655,Predicted
844,Predicted
64,Predicted
1,Predicted
1434,Predicted
1499,Predicted
239,Predicted
1260,Predicted
1499,Predicted
548,Predicted
951,Predicted
20,Predicted
7,Predicted
537,Predicted
1,Predicted
934,Predicted
489,Predicted
1,Predicted
501,Predicted
1,Predicted
507,Predicted
640,Predicted
3,Predicted
1,Predicted
855,Predicted
489,Predicted
1,Predicted
425,Predicted
1,Predicted
1,Predicted
1,Predicted
1,Predicted
1,Predicted
579,Predicted
358,Predicted
3,Predicted
1,Predicted
1137,Predicted
20,Predicted
7,Predicted
1472,Predicted
640,Predicted
3,Predicted
1,Predicted
271,Predicted
1,Predicted
1,Predicted
1,Predicted
1,Predicted
1,Predicted
71,Predicted
1,Predicted
507,Predicted
1499,Predicted
533,Predicted
966,Predicted
19,Predicted
35,Predicted
1,Predicted
509,Predicted
1,Predicted
934,Predicted
1499,Predicted
1004,Predicted
492,Predicted
568,Predicted
438,Predicted
493,Predicted
568,Predicted
931,Predicted
1208,Predicted
1,Predicted
3,Predicted
1,Predicted
35,Predicted
251,Predicted
245,Predicted
1254,Predicted
1136,Predicted
363,Predicted
1136,Predicted
363,Predicted
406,Predicted
1093,Predicted
1499,Predicted
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
2501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
1501,Ground Truth
2561,Ground Truth
2561,Ground Truth
1136,Ground Truth
52,Ground Truth
1,Ground Truth
72,Ground Truth
826,Ground Truth
4,Ground Truth
125,Ground Truth
12,Ground Truth
1,Ground Truth
1,Ground Truth
1,Ground Truth
18,Ground Truth
