segment_length,type
1012,Predicted
205,Predicted
109,Predicted
166,Predicted
1,Predicted
161,Predicted
135,Predicted
178,Predicted
166,Predicted
113,Predicted
207,Predicted
11,Predicted
125,Predicted
70,Predicted
1,Predicted
2,Predicted
2,Predicted
1,Predicted
1,Predicted
2,Predicted
1,Predicted
2,Predicted
4,Predicted
2,Predicted
1,Predicted
2,Predicted
1,Predicted
2,Predicted
1,Predicted
75,Predicted
0,Predicted
79,Predicted
0,Predicted
174,Predicted
6,Predicted
177,Predicted
183,Predicted
206,Predicted
1,Predicted
2,Predicted
157,Predicted
155,Predicted
48,Predicted
1,Predicted
106,Predicted
0,Predicted
152,Predicted
145,Predicted
191,Predicted
218,Predicted
171,Predicted
202,Predicted
169,Predicted
3,Predicted
199,Predicted
167,Predicted
186,Predicted
196,Predicted
140,Predicted
135,Predicted
165,Predicted
155,Predicted
189,Predicted
167,Predicted
263,Predicted
263,Predicted
159,Predicted
185,Predicted
245,Predicted
168,Predicted
245,Predicted
67,Predicted
228,Predicted
227,Predicted
93,Predicted
93,Predicted
94,Predicted
94,Predicted
181,Predicted
185,Predicted
226,Predicted
232,Predicted
100,Predicted
100,Predicted
94,Predicted
3,Predicted
7,Predicted
7,Predicted
4,Predicted
7,Predicted
3,Predicted
1,Predicted
1,Predicted
2,Predicted
1,Predicted
5,Predicted
2,Predicted
1,Predicted
1,Predicted
2,Predicted
1,Predicted
2,Predicted
2,Predicted
1,Predicted
1,Predicted
2,Predicted
1,Predicted
2,Predicted
4,Predicted
5,Predicted
5,Predicted
5,Predicted
5,Predicted
4,Predicted
5,Predicted
2,Predicted
204,Predicted
212,Predicted
278,Predicted
11,Predicted
270,Predicted
270,Predicted
158,Predicted
160,Predicted
174,Predicted
179,Predicted
169,Predicted
160,Predicted
170,Predicted
164,Predicted
236,Predicted
9,Predicted
1,Predicted
515,Predicted
241,Predicted
240,Predicted
200,Predicted
200,Predicted
201,Predicted
201,Predicted
173,Predicted
142,Predicted
133,Predicted
137,Predicted
209,Predicted
190,Predicted
197,Predicted
189,Predicted
5,Predicted
5,Predicted
179,Predicted
179,Predicted
191,Predicted
188,Predicted
143,Predicted
143,Predicted
146,Predicted
146,Predicted
315,Predicted
133,Predicted
323,Predicted
213,Predicted
109,Predicted
109,Predicted
146,Predicted
145,Predicted
214,Predicted
45,Predicted
236,Predicted
226,Predicted
9,Predicted
9,Predicted
273,Predicted
159,Predicted
52,Predicted
204,Predicted
27,Predicted
118,Predicted
103,Predicted
103,Predicted
31,Predicted
31,Predicted
11,Predicted
22,Predicted
9,Predicted
1,Predicted
167,Predicted
3,Predicted
191,Predicted
218,Predicted
42,Predicted
42,Predicted
18,Predicted
18,Predicted
222,Predicted
222,Predicted
241,Predicted
241,Predicted
204,Predicted
3,Predicted
204,Predicted
78,Predicted
78,Predicted
223,Predicted
223,Predicted
176,Predicted
176,Predicted
223,Predicted
223,Predicted
215,Predicted
290,Predicted
74,Predicted
74,Predicted
0,Predicted
1,Predicted
153,Predicted
10,Predicted
51,Predicted
51,Predicted
85,Predicted
301,Predicted
207,Predicted
202,Predicted
205,Predicted
137,Predicted
163,Predicted
291,Predicted
348,Predicted
170,Predicted
157,Predicted
225,Predicted
515,Predicted
0,Predicted
624,Predicted
259,Predicted
364,Predicted
251,Predicted
204,Predicted
0,Predicted
208,Predicted
80,Predicted
80,Predicted
84,Predicted
84,Predicted
112,Predicted
112,Predicted
203,Predicted
166,Predicted
37,Predicted
216,Predicted
216,Predicted
56,Predicted
56,Predicted
202,Predicted
0,Predicted
5,Predicted
130,Predicted
137,Predicted
1,Predicted
169,Predicted
1,Predicted
149,Predicted
137,Predicted
190,Predicted
179,Predicted
3,Predicted
1,Predicted
3,Predicted
210,Predicted
350,Predicted
0,Predicted
1,Predicted
3,Predicted
148,Predicted
3,Predicted
205,Predicted
204,Predicted
137,Predicted
137,Predicted
199,Predicted
203,Predicted
149,Predicted
149,Predicted
153,Predicted
153,Predicted
5,Predicted
153,Predicted
87,Predicted
148,Predicted
148,Predicted
136,Predicted
136,Predicted
69,Predicted
152,Predicted
139,Predicted
145,Predicted
134,Predicted
142,Predicted
140,Predicted
193,Predicted
175,Predicted
154,Predicted
194,Predicted
157,Predicted
191,Predicted
153,Predicted
165,Predicted
211,Predicted
69,Predicted
168,Predicted
248,Predicted
217,Predicted
248,Predicted
282,Predicted
244,Predicted
464,Predicted
143,Predicted
186,Predicted
218,Predicted
199,Predicted
185,Predicted
184,Predicted
141,Predicted
46,Predicted
382,Predicted
48,Predicted
234,Predicted
144,Predicted
224,Predicted
177,Predicted
249,Predicted
249,Predicted
215,Predicted
60,Predicted
219,Predicted
219,Predicted
24,Predicted
55,Predicted
19,Predicted
18,Predicted
3,Predicted
1,Predicted
206,Predicted
186,Predicted
27,Predicted
64,Predicted
267,Predicted
3,Predicted
45,Predicted
5,Predicted
173,Predicted
305,Predicted
203,Predicted
140,Predicted
4,Predicted
159,Predicted
24,Predicted
18,Predicted
20,Predicted
20,Predicted
28,Predicted
17,Predicted
11,Predicted
69,Predicted
3,Predicted
66,Predicted
41,Predicted
7,Predicted
12,Predicted
119,Predicted
54,Predicted
153,Predicted
123,Predicted
123,Predicted
2,Predicted
172,Predicted
2,Predicted
98,Predicted
47,Predicted
101,Predicted
13,Predicted
142,Predicted
161,Predicted
146,Predicted
1,Predicted
86,Predicted
59,Predicted
168,Predicted
120,Predicted
124,Predicted
144,Predicted
150,Predicted
124,Predicted
123,Predicted
5,Predicted
145,Predicted
163,Predicted
647,Predicted
120,Predicted
147,Predicted
12,Predicted
59,Predicted
9,Predicted
0,Predicted
34,Predicted
170,Predicted
0,Predicted
203,Predicted
7,Predicted
235,Predicted
39,Predicted
209,Predicted
202,Predicted
202,Predicted
254,Predicted
24,Predicted
2,Predicted
1,Predicted
1,Predicted
12,Predicted
172,Predicted
41,Predicted
19,Predicted
10,Predicted
193,Predicted
151,Predicted
151,Predicted
2,Predicted
1,Predicted
2,Predicted
1,Predicted
295,Predicted
83,Predicted
200,Predicted
0,Predicted
2,Predicted
214,Predicted
178,Predicted
164,Predicted
526,Predicted
34,Predicted
492,Predicted
164,Predicted
51,Predicted
74,Predicted
35,Predicted
27,Predicted
0,Predicted
2,Predicted
0,Predicted
316,Predicted
277,Predicted
2,Predicted
202,Predicted
0,Predicted
8,Predicted
0,Predicted
66,Predicted
18,Predicted
6,Predicted
239,Predicted
242,Predicted
40,Predicted
40,Predicted
37,Predicted
37,Predicted
34,Predicted
34,Predicted
13,Predicted
219,Predicted
17,Predicted
72,Predicted
380,Predicted
7,Predicted
0,Predicted
3,Predicted
131,Predicted
6,Predicted
145,Predicted
161,Predicted
138,Predicted
129,Predicted
159,Predicted
362,Predicted
272,Predicted
39,Predicted
33,Predicted
154,Predicted
377,Predicted
219,Predicted
223,Predicted
163,Predicted
0,Predicted
160,Predicted
0,Predicted
236,Predicted
13,Predicted
75,Predicted
124,Predicted
125,Predicted
157,Predicted
157,Predicted
231,Predicted
186,Predicted
50,Predicted
50,Predicted
5,Predicted
5,Predicted
6,Predicted
50,Predicted
226,Predicted
3,Predicted
136,Predicted
3,Predicted
1,Predicted
186,Predicted
126,Predicted
385,Predicted
271,Predicted
12,Predicted
227,Predicted
227,Predicted
59,Predicted
5,Predicted
361,Predicted
18,Predicted
83,Predicted
185,Predicted
130,Predicted
124,Predicted
1,Predicted
1,Predicted
192,Predicted
490,Predicted
4,Predicted
240,Predicted
4,Predicted
122,Predicted
264,Predicted
548,Predicted
283,Predicted
