,frame,track_14_x,track_14_y,track_16_x,track_16_y,track_17_x,track_17_y,track_12_x,track_12_y,track_13_x,track_13_y,track_10_x,track_10_y,track_11_x,track_11_y,track_7_x,track_7_y,track_43_x,track_43_y,track_42_x,track_42_y,track_39_x,track_39_y,track_40_x,track_40_y,track_90_x,track_90_y,track_91_x,track_91_y,track_92_x,track_92_y,track_93_x,track_93_y,track_86_x,track_86_y,track_87_x,track_87_y,track_88_x,track_88_y,track_89_x,track_89_y,track_82_x,track_82_y,track_83_x,track_83_y,track_84_x,track_84_y,track_85_x,track_85_y,track_80_x,track_80_y,track_81_x,track_81_y,track_78_x,track_78_y,track_79_x,track_79_y,track_51_x,track_51_y,track_52_x,track_52_y,track_8_x,track_8_y,track_9_x,track_9_y,track_47_x,track_47_y,track_48_x,track_48_y,track_108_x,track_108_y,track_109_x,track_109_y,track_57_x,track_57_y,track_58_x,track_58_y,track_118_x,track_118_y,track_119_x,track_119_y,track_116_x,track_116_y,track_117_x,track_117_y,track_96_x,track_96_y,track_97_x,track_97_y,track_18_x,track_18_y,track_19_x,track_19_y,track_104_x,track_104_y,track_105_x,track_105_y,track_134_x,track_134_y,track_135_x,track_135_y,track_114_x,track_114_y,track_115_x,track_115_y,track_110_x,track_110_y,track_111_x,track_111_y,track_120_x,track_120_y,track_121_x,track_121_y,track_94_x,track_94_y,track_95_x,track_95_y,track_106_x,track_106_y,track_107_x,track_107_y,track_112_x,track_112_y,track_113_x,track_113_y,track_98_x,track_98_y,track_99_x,track_99_y,track_102_x,track_102_y,track_103_x,track_103_y,track_28_x,track_28_y,track_29_x,track_29_y,track_100_x,track_100_y,track_101_x,track_101_y,track_130_x,track_130_y,track_131_x,track_131_y,track_26_x,track_26_y,track_27_x,track_27_y,track_140_x,track_140_y,track_141_x,track_141_y,track_55_x,track_55_y,track_56_x,track_56_y,track_45_x,track_45_y,track_46_x,track_46_y,track_53_x,track_53_y,track_54_x,track_54_y,track_59_x,track_59_y,track_60_x,track_60_y,track_142_x,track_142_y,track_143_x,track_143_y,track_49_x,track_49_y,track_50_x,track_50_y,track_61_x,track_61_y,track_62_x,track_62_y,track_132_x,track_132_y,track_133_x,track_133_y,track_128_x,track_128_y,track_129_x,track_129_y,track_24_x,track_24_y,track_25_x,track_25_y,track_138_x,track_138_y,track_139_x,track_139_y,track_136_x,track_136_y,track_137_x,track_137_y,track_22_x,track_22_y,track_23_x,track_23_y,track_20_x,track_20_y,track_21_x,track_21_y,track_126_x,track_126_y,track_127_x,track_127_y
0,650,382.708,281.14,134.004,593.289,137.136,605.593,1009.08,535.211,738.971,554.14,634.141,667.626,669.306,691.222,781.654,711.759,968.456,788.591,991.596,885.555,989.262,685.235,1208.72,674.497,760.184,277.33,847.464,223.59,820.765,448.038,790.826,426.805,648.98,390.298,695.214,394.803,812.959,389.258,947.969,473.159,679.722,613.003,702.021,513.199,661.816,653.218,593.487,605.707,771.951,497.858,869.435,610.169,905.505,476.035,835.805,356.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,651,383.796,282.828,134.228,593.289,136.913,607.383,1009.78,536.542,738.408,553.865,634.797,667.23,672.605,692.152,781.757,712.162,968.448,788.244,993.741,884.182,989.223,685.103,1206.21,673.936,760.365,277.108,847.973,219.595,821.572,448.243,792.414,427.232,650.177,390.382,694.642,393.896,812.466,390.298,947.969,472.979,680.779,612.173,702.119,512.73,662.545,653.032,591.707,604.757,771.954,500.684,867.769,609.281,906.031,476.693,834.968,358.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,652,385.079,284.824,134.225,592.615,136.646,606.941,1010.44,537.781,737.847,553.586,635.501,666.666,676.348,693.209,781.464,713.331,968.456,787.919,995.302,883.221,989.165,684.924,1202.77,673.135,760.461,276.624,848.423,216.426,821.874,448.32,794.0,427.651,651.818,390.473,694.053,392.325,811.687,390.933,947.967,472.778,681.834,611.334,702.248,512.087,663.251,652.833,590.654,603.925,771.959,502.703,866.087,608.398,906.728,477.649,833.833,359.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,653,386.489,287.025,134.2,591.628,136.306,606.109,1011.0,538.831,737.314,553.315,636.451,665.889,680.091,694.274,781.01,714.905,968.459,788.213,995.418,883.585,989.094,684.709,1200.0,672.483,760.562,275.985,849.026,212.248,822.25,448.417,795.508,428.04,653.665,390.563,693.253,390.133,810.583,391.778,947.964,472.591,682.582,610.712,702.383,511.405,664.199,652.563,589.245,602.78,772.045,504.184,864.865,607.77,907.406,478.614,832.582,361.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,654,387.962,289.325,134.167,590.526,136.023,605.652,1011.41,539.597,736.835,553.066,637.419,665.106,683.393,695.226,780.405,716.216,968.464,788.678,995.36,884.205,989.014,684.471,1197.32,671.812,760.597,275.485,849.609,208.112,822.64,448.516,796.863,428.375,655.483,390.639,692.482,387.938,809.374,392.679,947.935,471.927,682.9,610.085,702.497,510.82,665.151,652.291,587.664,601.479,772.164,506.149,863.946,607.474,907.878,479.298,831.399,363.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,655,389.432,291.62,134.142,589.503,135.656,607.305,1011.9,540.354,736.437,552.85,638.176,664.527,685.811,695.946,777.703,717.905,968.468,789.198,995.302,884.564,988.929,684.221,1195.77,670.496,760.232,275.116,850.0,205.068,822.985,448.602,797.988,428.632,657.036,390.692,691.98,386.356,808.273,393.479,947.895,470.974,683.276,609.239,702.777,509.266,665.874,652.081,586.091,600.182,772.306,508.475,862.715,607.094,907.942,479.605,830.466,365.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,656,390.832,293.806,134.139,588.756,135.142,609.742,1012.57,541.365,736.145,552.68,639.392,663.966,688.835,697.3,779.054,717.568,968.467,789.655,995.3,883.564,988.844,683.972,1194.63,669.128,759.697,274.633,849.874,202.41,823.228,448.657,798.808,428.79,658.085,390.712,692.341,385.331,807.5,394.023,947.847,469.913,683.667,608.407,703.15,507.195,666.778,651.784,584.709,599.047,772.464,511.041,861.369,606.692,907.954,479.935,828.335,367.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,657,392.098,295.777,134.36,587.849,134.554,612.582,1013.37,542.568,736.124,552.091,641.114,663.188,692.967,699.184,778.0,716.0,968.456,789.933,995.302,882.55,988.763,683.735,1195.23,668.037,759.148,274.17,849.644,198.867,823.287,448.585,798.809,427.48,657.616,390.297,692.905,384.137,807.083,393.944,947.792,468.923,684.026,607.823,703.448,505.589,668.016,651.375,583.699,598.232,772.63,513.726,860.106,606.333,907.878,480.187,825.331,370.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,658,393.162,297.429,134.678,586.583,133.967,615.446,1014.25,543.897,736.117,551.237,643.086,662.303,697.152,701.139,780.068,715.878,968.293,789.408,995.277,882.795,988.691,683.523,1195.95,668.243,758.742,273.861,849.423,195.383,823.362,448.483,798.756,425.574,656.849,389.695,693.311,383.251,806.541,393.785,947.732,468.185,685.217,607.649,703.724,504.536,669.254,650.962,582.554,597.532,772.797,516.407,859.122,606.081,907.079,480.379,822.3,373.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,659,393.96,298.658,135.049,585.136,133.455,617.953,1015.17,545.291,736.121,550.298,645.056,661.425,700.338,702.703,780.851,715.489,968.052,788.609,995.302,883.221,988.632,683.348,,,758.344,274.002,849.324,192.905,823.445,448.361,798.669,423.353,655.944,389.011,693.21,382.922,805.96,393.583,947.346,467.068,686.915,607.462,703.924,503.686,670.155,650.654,580.994,596.602,772.957,518.963,857.086,605.998,905.918,480.629,820.085,375.489,1187.92,673.826,1197.99,667.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
