segment_length,type
4,Predicted
37,Predicted
25,Predicted
16,Predicted
41,Predicted
4,Predicted
37,Predicted
4,Predicted
37,Predicted
41,Predicted
3,Predicted
38,Predicted
41,Predicted
21,Predicted
7,Predicted
41,Predicted
24,Predicted
16,Predicted
1,Predicted
26,Predicted
15,Predicted
14,Predicted
1,Predicted
1,Predicted
5,Predicted
20,Predicted
14,Predicted
1,Predicted
1,Predicted
5,Predicted
20,Predicted
41,Predicted
11,Predicted
30,Predicted
29,Predicted
12,Predicted
6,Predicted
35,Predicted
34,Predicted
6,Predicted
1,Predicted
17,Predicted
3,Predicted
21,Predicted
34,Predicted
41,Predicted
4,Predicted
37,Predicted
3,Predicted
4,Predicted
15,Predicted
11,Predicted
3,Predicted
12,Predicted
12,Predicted
6,Predicted
6,Predicted
2,Predicted
41,Predicted
1,Predicted
27,Predicted
1,Predicted
12,Predicted
12,Predicted
29,Predicted
12,Predicted
29,Predicted
28,Predicted
3,Predicted
1,Predicted
5,Predicted
3,Predicted
1,Predicted
29,Predicted
2,Predicted
1,Predicted
5,Predicted
3,Predicted
1,Predicted
2,Predicted
10,Predicted
2,Predicted
1,Predicted
4,Predicted
1,Predicted
3,Predicted
5,Predicted
1,Predicted
2,Predicted
10,Predicted
2,Predicted
29,Predicted
10,Predicted
12,Predicted
26,Predicted
3,Predicted
0,Predicted
17,Predicted
4,Predicted
18,Predicted
2,Predicted
12,Predicted
1,Predicted
4,Predicted
4,Predicted
17,Predicted
3,Predicted
41,Predicted
41,Predicted
41,Predicted
41,Predicted
16,Predicted
25,Predicted
16,Predicted
25,Predicted
19,Predicted
2,Predicted
4,Predicted
1,Predicted
34,Predicted
6,Predicted
35,Predicted
2,Predicted
4,Predicted
1,Predicted
34,Predicted
6,Predicted
35,Predicted
9,Predicted
1,Predicted
4,Predicted
1,Predicted
2,Predicted
1,Predicted
6,Predicted
17,Predicted
9,Predicted
1,Predicted
4,Predicted
1,Predicted
2,Predicted
1,Predicted
6,Predicted
17,Predicted
1,Predicted
10,Predicted
2,Predicted
1,Predicted
4,Predicted
1,Predicted
3,Predicted
5,Predicted
1,Predicted
12,Predicted
36,Predicted
0,Predicted
21,Predicted
21,Predicted
2,Predicted
3,Predicted
3,Predicted
3,Predicted
6,Predicted
22,Predicted
5,Predicted
7,Predicted
4,Predicted
4,Predicted
1,Predicted
3,Predicted
8,Predicted
24,Predicted
20,Predicted
11,Predicted
20,Predicted
2,Predicted
1,Predicted
